separation,traction
0.0,-0.0
0.10000000000000142,17.34385637912926
0.20000000000000284,29.196304698145966
0.30000000000000426,37.11459955715648
0.3999999999999986,42.22474099881258
0.5,44.94334256336467
0.6000000000000014,46.12809620256402
0.7000000000000028,45.95526270605331
0.8000000000000043,44.608905088393044
0.8999999999999986,42.84632877992159
1.0,41.92868288932767
1.1000000000000014,40.551937658829395
1.2000000000000028,38.28967148810754
1.3000000000000043,35.90713417821643
1.3999999999999986,33.64418886645921
1.5,31.383359947695922
1.6000000000000014,28.70940795772447
1.7000000000000028,25.79259197471223
1.8000000000000043,23.008050553819817
1.8999999999999986,20.65613776643025
2.0,18.62331070781762
2.1000000000000014,16.645399309203867
2.200000000000003,14.949347234242707
2.3000000000000043,13.348911899469424
2.3999999999999986,11.842908756566512
2.5,10.495161268880405
2.6000000000000014,9.283889541346824
2.700000000000003,8.235043079107603
2.8000000000000043,7.240101462303005
2.8999999999999986,6.400383057022428
3.0,5.705890275466247
3.1000000000000014,5.001431494065576
3.200000000000003,4.346771123932224
3.3000000000000043,3.8078964033392224
3.3999999999999986,3.292428357499845
3.5,2.879842281528953
3.6000000000000014,2.4991284522873487
3.700000000000003,2.0791823827704476
3.8000000000000043,1.7402752121474914
3.8999999999999986,1.5122101760865616
4.0,1.269488328843874
4.100000000000001,0.9201887209821279
4.200000000000003,0.8008494264893049
4.300000000000004,0.5579064635606875
4.399999999999999,0.39110626648039176
4.5,0.27094568515410433
4.600000000000001,0.13875009292211263
4.700000000000003,0.10678308232742126
4.800000000000004,0.00827604424486888
4.899999999999999,-0.23090795202291045
5.0,-0.11232676845328089
5.100000000000001,-0.13807095188674937
5.200000000000003,-0.14312502470804314
5.300000000000004,-0.1908544249141493
5.399999999999999,-0.16578938251603687
5.5,-0.2133924309016079
5.600000000000001,-0.2033948431019856
5.700000000000003,-0.26266964090923683
5.800000000000004,-0.2520718819620828
5.899999999999999,-0.262795992729768
6.0,-0.22547482374001743
6.100000000000001,-0.29969072432522115
6.200000000000003,-0.3129102835484187
6.300000000000004,-0.2868818085187511
6.399999999999999,-0.291383092125218
6.5,-0.30695595400583364
6.600000000000001,-0.2988536435141933
6.700000000000003,-0.28880867378186825
6.800000000000004,-0.2970373360940369
