separation,traction
0.0,-0.0
0.10000000000000142,9.676123916294058
0.20000000000000284,17.28022991018203
0.30000000000000426,22.965097195725615
0.3999999999999986,26.628641074492233
0.5,29.062156200888356
0.6000000000000014,30.37158019923534
0.7000000000000028,30.64900870084676
0.8000000000000043,29.930295321631988
0.8999999999999986,28.19735271505767
1.0,26.118431633767532
1.1000000000000014,23.093189143907413
1.2000000000000028,20.199160185703803
1.3000000000000043,18.816708971668717
1.3999999999999986,17.744186402621615
1.5,16.450191945449568
1.6000000000000014,15.474206575060027
1.7000000000000028,14.518092313189428
1.8000000000000043,13.493356727735012
1.8999999999999986,12.682904469603805
2.0,11.780891708754707
2.1000000000000014,10.966515174255308
2.200000000000003,10.06880127979137
2.3000000000000043,9.40697207029556
2.3999999999999986,8.476561818636627
2.5,7.880392887828638
2.6000000000000014,7.885066344230758
2.700000000000003,6.804695222447272
2.8000000000000043,6.208347915440726
2.8999999999999986,5.630890647861075
3.0,5.202823446570601
3.1000000000000014,4.798908382564373
3.200000000000003,4.385450191935491
3.3000000000000043,3.942399389966462
3.3999999999999986,3.4071280933448906
3.5,3.20074683161763
3.6000000000000014,2.9165757097008655
3.700000000000003,2.708125284070377
3.8000000000000043,2.486920960243259
3.8999999999999986,2.187623536689095
4.0,2.0610121109552946
4.200000000000003,1.6540111387140752
4.300000000000004,1.6531370953411622
4.399999999999999,1.4651820949245546
4.5,1.2567495069139207
4.600000000000001,1.1522388921809896
4.700000000000003,1.0965320053724998
4.800000000000004,1.0197053766551878
4.899999999999999,0.9630174207546497
5.0,0.8715282685161783
5.100000000000001,0.8972322787278436
5.200000000000003,0.8113798143636863
5.300000000000004,0.6671448202127256
5.399999999999999,0.6647367415322438
5.5,0.5456527913774306
5.600000000000001,0.5832901692723749
5.700000000000003,0.5042160004532796
5.800000000000004,0.6360538488047219
5.899999999999999,0.6454721120883865
6.0,0.5686811586107828
6.100000000000001,0.5351642709024395
6.200000000000003,0.46902237647852746
6.300000000000004,0.49911444117462905
6.399999999999999,0.45275446717038104
6.5,0.41902352802377146
6.600000000000001,0.4017745496235784
6.700000000000003,0.4602284298898043
6.800000000000004,0.4426048614726427
