separation,traction
0.0,-0.0
0.10000000000000142,8.387459081932972
0.1999999999999993,15.27199041418431
0.3000000000000007,20.72883500113809
0.40000000000000213,24.786665877269808
0.5,27.43460209908051
0.6000000000000014,28.892093167875213
0.6999999999999993,29.44708299299579
0.8000000000000007,29.250506098819027
0.9000000000000021,28.401792505900602
1.0,27.14505381621705
1.1000000000000014,25.650003951904214
1.1999999999999993,23.930629759047743
1.3000000000000007,22.093292974572172
1.4000000000000021,20.16862067762672
1.5,18.340868996498045
1.6000000000000014,16.689639540526315
1.6999999999999993,15.073582888681644
1.8000000000000007,13.591573701454514
1.9000000000000021,12.20697878343543
2.0,10.950589764904008
2.1000000000000014,9.842358470423573
2.1999999999999993,8.769752495678839
2.3000000000000007,7.838434235290092
2.400000000000002,7.0065665643483035
2.5,6.2344926604225135
2.6000000000000014,5.534800684989765
2.6999999999999993,4.936739601482029
2.8000000000000007,4.331993628301024
2.900000000000002,3.8511957941081034
3.0,3.396417607412684
3.1000000000000014,3.0235241769920034
3.1999999999999993,2.6780285097860803
3.3000000000000007,2.3541713162302504
3.400000000000002,2.125589227187005
3.5,1.8709463528636525
3.6000000000000014,1.6759121255345724
3.6999999999999993,1.4808573293141898
3.8000000000000007,1.2028893322539493
3.900000000000002,1.1883882638857795
4.0000000000000036,1.049301420899147
4.099999999999998,0.9351852119535937
4.199999999999999,0.7905447683153212
4.300000000000001,0.7567089421229214
4.400000000000002,0.705204438301784
4.5000000000000036,0.6454929468510022
4.599999999999998,0.5918492783344185
4.699999999999999,0.5631762438589135
4.800000000000001,0.5511023046644221
4.900000000000002,0.5122888067768484
5.0000000000000036,0.5110135355161012
5.099999999999998,0.5003588498214738
5.199999999999999,0.4593239116732441
5.300000000000001,0.44875150154382537
5.400000000000002,0.507537392886001
5.5000000000000036,0.4784529805844492
5.599999999999998,0.43871388258826877
5.699999999999999,0.4226495784811153
5.800000000000001,0.43186444178457944
5.900000000000002,0.4408324783924116
6.0000000000000036,0.4250561387634941
6.099999999999998,0.4348880688060267
6.199999999999999,0.44243685191399634
6.300000000000001,0.43023949937169187
6.400000000000002,0.47594357584555946
6.5000000000000036,0.46969063288963864
6.599999999999998,0.4916582088005704
6.699999999999999,0.4726319843458777
6.800000000000001,0.5024774456256175
