separation,traction
0.0,-0.0
0.10000000000000142,8.1156397169471
0.20000000000000284,14.732730485666973
0.30000000000000426,19.7073492561016
0.4000000000000057,23.279231043636695
0.5,25.65312631118054
0.6000000000000014,27.15148480748893
0.7000000000000028,27.854061936115993
0.8000000000000043,27.88491514696923
0.9000000000000057,27.326143867219347
1.0,26.227338846504644
1.1000000000000014,24.713084940046322
1.2000000000000028,22.66505290564991
1.3000000000000043,20.41470233284744
1.4000000000000057,18.427658862924925
1.5,17.12548049317668
1.6000000000000014,15.905928955912898
1.7000000000000028,14.749636756001559
1.8000000000000043,13.658508412631146
1.9000000000000057,12.742273531352813
2.0,11.680811736879743
2.1000000000000014,10.79944420689804
2.200000000000003,9.989862400174102
2.3000000000000043,9.446957230278953
2.4000000000000057,8.561253256606575
2.5,7.90533684809706
2.6000000000000014,7.232543469548172
2.700000000000003,6.690019203490718
2.8000000000000043,6.077027727459826
2.9000000000000057,5.618595308647184
3.0,5.136517551602286
3.1000000000000014,4.681850220723774
3.200000000000003,4.282794850148625
3.3000000000000043,3.8666867077628533
3.4000000000000057,3.5590336080867213
3.5,3.219838740619985
3.6000000000000014,2.945280324380442
3.700000000000003,2.642256671347054
3.8000000000000043,2.402946510241836
3.9000000000000057,2.2006719222785813
4.0,1.9812127111762716
4.100000000000001,1.8033452691206582
4.200000000000003,1.5844720639224965
4.300000000000004,1.4889238012516506
4.400000000000006,1.3542156940363155
4.5,1.201634406744557
4.600000000000001,1.1440886269575163
4.700000000000003,1.0206171829541628
4.800000000000004,0.9713340864155691
4.900000000000006,0.8532978471731576
5.0,0.8086441972773083
5.100000000000001,0.7218420727258285
5.200000000000003,0.6499537984348379
5.300000000000004,0.6549787990628827
5.400000000000006,0.46105479523369536
5.5,0.5633567759498089
5.600000000000001,0.5427586684191119
5.700000000000003,0.49521893944534834
5.800000000000004,0.48875822435214766
5.900000000000006,0.42643649644632553
6.0,0.44341601751893023
6.100000000000001,0.4204006356336331
6.200000000000003,0.4097646284734015
6.300000000000004,0.38131404182716183
6.400000000000006,0.34183189403539155
6.5,0.3054262772403818
6.600000000000001,0.34707664687748724
6.700000000000003,0.35781520507094505
6.800000000000004,0.3145826194926457
