      Step     Time          Energy          fmax
BFGS:    0 15:07:41      -20.434526        0.000000
      Step     Time          Energy          fmax
BFGS:    0 15:07:41     -155.586537        0.006651
BFGS:    1 15:07:41     -155.586540        0.006269
BFGS:    2 15:07:41     -155.586564        0.003324
BFGS:    3 15:07:41     -155.586565        0.002982
BFGS:    4 15:07:41     -155.586571        0.003833
BFGS:    5 15:07:41     -155.586573        0.003984
BFGS:    6 15:07:41     -155.586580        0.004473
BFGS:    7 15:07:41     -155.586587        0.005145
BFGS:    8 15:07:41     -155.586595        0.003956
BFGS:    9 15:07:41     -155.586597        0.002520
BFGS:   10 15:07:41     -155.586598        0.002007
BFGS:   11 15:07:41     -155.586600        0.001787
BFGS:   12 15:07:41     -155.586601        0.001380
BFGS:   13 15:07:41     -155.586602        0.000899
      Step     Time          Energy          fmax
BFGS:    0 15:07:41      -20.434526        0.000000
      Step     Time          Energy          fmax
BFGS:    0 15:10:31    -1294.707291        0.007644
BFGS:    1 15:10:31    -1294.707326        0.006808
BFGS:    2 15:10:31    -1294.707455        0.004126
BFGS:    3 15:10:31    -1294.707460        0.003765
BFGS:    4 15:10:31    -1294.707481        0.000667
      Step     Time          Energy          fmax
BFGS:    0 15:10:32    -1312.099049        0.006985
BFGS:    1 15:10:32    -1312.099054        0.005631
BFGS:    2 15:10:32    -1312.099073        0.004405
BFGS:    3 15:10:32    -1312.099075        0.004267
BFGS:    4 15:10:32    -1312.099079        0.001192
BFGS:    5 15:10:32    -1312.099080        0.001406
BFGS:    6 15:10:32    -1312.099081        0.001307
BFGS:    7 15:10:32    -1312.099081        0.001180
BFGS:    8 15:10:32    -1312.099081        0.000525
      Step     Time          Energy          fmax
BFGS:    0 15:10:32    -1312.369631        0.008288
BFGS:    1 15:10:32    -1312.369646        0.007154
BFGS:    2 15:10:33    -1312.369708        0.007536
BFGS:    3 15:10:33    -1312.369719        0.007477
BFGS:    4 15:10:33    -1312.369770        0.004419
BFGS:    5 15:10:33    -1312.369782        0.003903
BFGS:    6 15:10:33    -1312.369790        0.004083
BFGS:    7 15:10:33    -1312.369795        0.004337
BFGS:    8 15:10:33    -1312.369800        0.002670
BFGS:    9 15:10:33    -1312.369802        0.000715
      Step     Time          Energy          fmax
BFGS:    0 15:10:33    -1312.099049        0.006985
BFGS:    1 15:10:33    -1312.099054        0.005631
BFGS:    2 15:10:33    -1312.099073        0.004405
BFGS:    3 15:10:33    -1312.099075        0.004267
BFGS:    4 15:10:33    -1312.099079        0.001192
BFGS:    5 15:10:33    -1312.099080        0.001406
BFGS:    6 15:10:33    -1312.099081        0.001307
BFGS:    7 15:10:33    -1312.099081        0.001180
BFGS:    8 15:10:33    -1312.099081        0.000525
      Step     Time          Energy          fmax
BFGS:    0 15:10:34    -1313.046393        0.009945
BFGS:    1 15:10:34    -1313.046433        0.008164
BFGS:    2 15:10:34    -1313.046657        0.015383
BFGS:    3 15:10:34    -1313.046684        0.013596
BFGS:    4 15:10:34    -1313.046770        0.007049
BFGS:    5 15:10:34    -1313.046794        0.011053
BFGS:    6 15:10:34    -1313.046852        0.017838
BFGS:    7 15:10:34    -1313.046909        0.017072
BFGS:    8 15:10:34    -1313.046965        0.009672
BFGS:    9 15:10:34    -1313.047000        0.007467
BFGS:   10 15:10:34    -1313.047031        0.011695
