      Step     Time          Energy          fmax
FIRE:   39 15:07:38    -1312.352425        0.036537
FIRE:   40 15:07:38    -1312.353281        0.033148
FIRE:   41 15:07:38    -1312.354142        0.031782
FIRE:   42 15:07:38    -1312.355025        0.040326
FIRE:   43 15:07:38    -1312.355973        0.049948
FIRE:   44 15:07:38    -1312.357043        0.054734
FIRE:   45 15:07:38    -1312.358263        0.052124
FIRE:   46 15:07:38    -1312.359590        0.040857
FIRE:   47 15:07:38    -1312.360902        0.021953
FIRE:   48 15:07:38    -1312.362074        0.018803
FIRE:   49 15:07:38    -1312.363136        0.025102
FIRE:   50 15:07:38    -1312.364261        0.032934
FIRE:   51 15:07:38    -1312.365468        0.025924
FIRE:   52 15:07:38    -1312.366453        0.017107
FIRE:   53 15:07:38    -1312.367107        0.027580
FIRE:   54 15:07:38    -1312.367832        0.029874
FIRE:   55 15:07:38    -1312.368526        0.020598
FIRE:   56 15:07:38    -1312.368630        0.025721
FIRE:   57 15:07:38    -1312.368732        0.021867
FIRE:   58 15:07:38    -1312.368891        0.016020
FIRE:   59 15:07:38    -1312.369047        0.013238
FIRE:   60 15:07:38    -1312.369167        0.016893
FIRE:   61 15:07:38    -1312.369264        0.020924
FIRE:   62 15:07:38    -1312.369372        0.021143
FIRE:   63 15:07:38    -1312.369499        0.016830
FIRE:   64 15:07:38    -1312.369631        0.008288
      Step     Time          Energy          fmax
FIRE:    0 15:07:38    -1289.449533       50.289280
FIRE:    1 15:07:38    -1299.995304       25.696064
FIRE:    2 15:07:38    -1305.621486       13.201842
FIRE:    3 15:07:38    -1308.455337        5.386381
FIRE:    4 15:07:38    -1309.720474        2.182433
FIRE:    5 15:07:38    -1310.304666        1.697713
FIRE:    6 15:07:38    -1310.558927        2.044634
FIRE:    7 15:07:38    -1310.556453        3.375335
FIRE:    8 15:07:38    -1310.677976        3.173891
FIRE:    9 15:07:38    -1310.894424        2.791885
FIRE:   10 15:07:38    -1311.160884        2.270001
FIRE:   11 15:07:38    -1311.427549        1.663296
FIRE:   12 15:07:38    -1311.652898        1.029140
FIRE:   13 15:07:38    -1311.811909        0.413770
FIRE:   14 15:07:38    -1311.898771        0.297987
FIRE:   15 15:07:38    -1311.926478        0.673494
FIRE:   16 15:07:38    -1311.928888        0.665761
FIRE:   17 15:07:38    -1311.933619        0.650383
FIRE:   18 15:07:39    -1311.940500        0.627535
FIRE:   19 15:07:39    -1311.949283        0.597482
FIRE:   20 15:07:39    -1311.959651        0.560583
FIRE:   21 15:07:39    -1311.971239        0.517290
FIRE:   22 15:07:39    -1311.983643        0.468155
FIRE:   23 15:07:39    -1311.997802        0.407805
FIRE:   24 15:07:39    -1312.013319        0.334973
FIRE:   25 15:07:39    -1312.029471        0.248927
FIRE:   26 15:07:39    -1312.045179        0.150147
FIRE:   27 15:07:39    -1312.059103        0.105129
FIRE:   28 15:07:39    -1312.069985        0.118030
FIRE:   29 15:07:39    -1312.077270        0.172261
FIRE:   30 15:07:39    -1312.081528        0.237619
FIRE:   31 15:07:39    -1312.084017        0.266107
FIRE:   32 15:07:39    -1312.084477        0.260657
FIRE:   33 15:07:39    -1312.085365        0.250044
FIRE:   34 15:07:39    -1312.086618        0.237615
FIRE:   35 15:07:39    -1312.088149        0.221439
FIRE:   36 15:07:39    -1312.089852        0.201840
FIRE:   37 15:07:39    -1312.091611        0.179203
FIRE:   38 15:07:39    -1312.093306        0.153965
FIRE:   39 15:07:39    -1312.094974        0.123628
FIRE:   40 15:07:39    -1312.096418        0.087985
FIRE:   41 15:07:39    -1312.097396        0.047309
FIRE:   42 15:07:39    -1312.097695        0.052447
FIRE:   43 15:07:39    -1312.097703        0.052075
FIRE:   44 15:07:39    -1312.097718        0.051335
FIRE:   45 15:07:39    -1312.097740        0.050233
FIRE:   46 15:07:39    -1312.097769        0.048780
FIRE:   47 15:07:39    -1312.097804        0.046991
FIRE:   48 15:07:39    -1312.097845        0.044884
FIRE:   49 15:07:39    -1312.097891        0.042483
FIRE:   50 15:07:39    -1312.097947        0.039515
FIRE:   51 15:07:39    -1312.098012        0.035903
FIRE:   52 15:07:39    -1312.098089        0.031581
FIRE:   53 15:07:39    -1312.098176        0.026510
FIRE:   54 15:07:39    -1312.098272        0.020706
FIRE:   55 15:07:39    -1312.098376        0.014578
FIRE:   56 15:07:39    -1312.098486        0.015908
FIRE:   57 15:07:39    -1312.098597        0.016762
FIRE:   58 15:07:39    -1312.098709        0.016770
FIRE:   59 15:07:39    -1312.098818        0.015511
FIRE:   60 15:07:39    -1312.098918        0.012588
FIRE:   61 15:07:39    -1312.099002        0.011403
FIRE:   62 15:07:39    -1312.099049        0.006985
      Step     Time          Energy          fmax
FIRE:    0 15:07:39    -1291.613522       38.629571
FIRE:    1 15:07:39    -1300.625860       20.810597
FIRE:    2 15:07:39    -1305.678689       10.708838
FIRE:    3 15:07:39    -1308.501645        6.402723
FIRE:    4 15:07:39    -1310.017963        3.682930
FIRE:    5 15:07:39    -1310.722046        2.113119
FIRE:    6 15:07:39    -1310.936608        2.250666
FIRE:    7 15:07:39    -1311.026382        2.138374
FIRE:    8 15:07:39    -1311.189271        1.925255
FIRE:    9 15:07:39    -1311.396544        1.631796
FIRE:   10 15:07:39    -1311.614876        1.283803
FIRE:   11 15:07:39    -1311.814231        0.909361
FIRE:   12 15:07:39    -1311.974227        0.649903
FIRE:   13 15:07:39    -1312.088095        0.785890
FIRE:   14 15:07:39    -1312.168833        0.913343
FIRE:   15 15:07:39    -1312.225358        0.983943
FIRE:   16 15:07:39    -1312.273782        0.979282
FIRE:   17 15:07:39    -1312.324582        0.807799
FIRE:   18 15:07:39    -1312.374035        0.584059
FIRE:   19 15:07:39    -1312.400584        0.558757
FIRE:   20 15:07:39    -1312.405297        0.553822
FIRE:   21 15:07:39    -1312.414401        0.544130
FIRE:   22 15:07:39    -1312.427288        0.530037
FIRE:   23 15:07:39    -1312.443125        0.512067
FIRE:   24 15:07:39    -1312.460946        0.490900
FIRE:   25 15:07:39    -1312.479756        0.467361
FIRE:   26 15:07:39    -1312.498643        0.442414
FIRE:   27 15:07:39    -1312.518733        0.414477
FIRE:   28 15:07:39    -1312.539223        0.384865
FIRE:   29 15:07:39    -1312.559453        0.355901
FIRE:   30 15:07:39    -1312.579289        0.330918
FIRE:   31 15:07:39    -1312.599395        0.313617
FIRE:   32 15:07:39    -1312.621188        0.314265
FIRE:   33 15:07:39    -1312.646553        0.356868
FIRE:   34 15:07:39    -1312.677554        0.378086
FIRE:   35 15:07:39    -1312.716061        0.362117
FIRE:   36 15:07:39    -1312.762281        0.300370
FIRE:   37 15:07:40    -1312.813627        0.218433
FIRE:   38 15:07:40    -1312.865818        0.241222
FIRE:   39 15:07:40    -1312.915383        0.253765
FIRE:   40 15:07:40    -1312.960125        0.206197
FIRE:   41 15:07:40    -1312.995555        0.147758
FIRE:   42 15:07:40    -1313.014034        0.116737
FIRE:   43 15:07:40    -1313.016460        0.108703
FIRE:   44 15:07:40    -1313.020641        0.093306
FIRE:   45 15:07:40    -1313.025536        0.071922
FIRE:   46 15:07:40    -1313.030143        0.068665
FIRE:   47 15:07:40    -1313.033818        0.073315
FIRE:   48 15:07:40    -1313.036326        0.050410
FIRE:   49 15:07:40    -1313.037765        0.035737
FIRE:   50 15:07:40    -1313.038543        0.045333
FIRE:   51 15:07:40    -1313.039049        0.060584
FIRE:   52 15:07:40    -1313.039215        0.057286
FIRE:   53 15:07:40    -1313.039528        0.051002
