             Step     Time          Energy          fmax
SciPyFminCG:   29 16:55:26    -2414.708725        0.135088
SciPyFminCG:   30 16:55:26    -2414.714553        0.133626
SciPyFminCG:   31 16:55:26    -2414.721793        0.130469
SciPyFminCG:   32 16:55:26    -2414.733862        0.121763
SciPyFminCG:   33 16:55:26    -2414.762848        0.101904
SciPyFminCG:   34 16:55:26    -2414.778415        0.092014
SciPyFminCG:   35 16:55:26    -2414.793623        0.084169
SciPyFminCG:   36 16:55:27    -2414.807937        0.076517
SciPyFminCG:   37 16:55:27    -2414.811497        0.075827
SciPyFminCG:   38 16:55:27    -2414.814688        0.073772
SciPyFminCG:   39 16:55:27    -2414.819339        0.069268
SciPyFminCG:   40 16:55:27    -2414.826426        0.061153
SciPyFminCG:   41 16:55:27    -2414.829187        0.058091
SciPyFminCG:   42 16:55:27    -2414.831051        0.056872
SciPyFminCG:   43 16:55:28    -2414.832356        0.055338
SciPyFminCG:   44 16:55:28    -2414.834594        0.051117
SciPyFminCG:   45 16:55:28    -2414.836692        0.046730
SciPyFminCG:   46 16:55:28    -2414.839289        0.041443
SciPyFminCG:   47 16:55:28    -2414.842395        0.032964
SciPyFminCG:   48 16:55:28    -2414.844687        0.029490
SciPyFminCG:   49 16:55:29    -2414.846000        0.028616
SciPyFminCG:   50 16:55:29    -2414.846654        0.027860
SciPyFminCG:   51 16:55:29    -2414.847392        0.026891
SciPyFminCG:   52 16:55:29    -2414.848395        0.025074
SciPyFminCG:   53 16:55:29    -2414.848996        0.023985
SciPyFminCG:   54 16:55:29    -2414.849415        0.023394
SciPyFminCG:   55 16:55:29    -2414.849612        0.022878
SciPyFminCG:   56 16:55:30    -2414.849769        0.022374
SciPyFminCG:   57 16:55:30    -2414.850043        0.021022
SciPyFminCG:   58 16:55:30    -2414.850508        0.018259
SciPyFminCG:   59 16:55:30    -2414.851410        0.012670
SciPyFminCG:   60 16:55:30    -2414.852532        0.010980
SciPyFminCG:   61 16:55:30    -2414.852835        0.003598
SciPyFminCG:   62 16:55:30    -2414.852900        0.004163
SciPyFminCG:   63 16:55:31    -2414.852935        0.002424
SciPyFminCG:   64 16:55:31    -2414.852949        0.002863
SciPyFminCG:   65 16:55:31    -2414.852979        0.002132
SciPyFminCG:   66 16:55:31    -2414.852989        0.001875
SciPyFminCG:   67 16:55:31    -2414.852998        0.001778
SciPyFminCG:   68 16:55:31    -2414.853000        0.001749
SciPyFminCG:   69 16:55:31    -2414.853002        0.001640
SciPyFminCG:   70 16:55:32    -2414.853004        0.001570
SciPyFminCG:   71 16:55:32    -2414.853005        0.001507
SciPyFminCG:   72 16:55:32    -2414.853006        0.001459
SciPyFminCG:   73 16:55:32    -2414.853007        0.001413
SciPyFminCG:   74 16:55:32    -2414.853008        0.001313
SciPyFminCG:   75 16:55:32    -2414.853011        0.000980
