x_A,y_A,delta_x_A,delta_y_A
0.0,-0.0,2.2754480580950216e-07,0.0003178916722750997
0.24553295100050157,-0.020675198890437226,-1.4725317115547636e-06,0.04166828945314955
0.49106590200100314,-0.13342370540328283,1.729153731505883e-05,0.26716530247884074
0.7365988530015047,-0.37685154425477657,7.969133161090554e-05,0.7540209801818283
0.9821318040020063,-0.6094258497863652,0.00013118810526214358,1.2191695912450053
1.227664755002508,-0.7009165963900756,0.00014134939874939625,1.4021510844524263
1.4731977060030095,-0.609425725020506,0.0001354432325613342,1.219169341713287
1.718730657003511,-0.3768492510506302,8.447946048583105e-05,0.7540163937735356
1.9642636080040126,-0.13342105540432025,1.8951410607652536e-05,0.2671600024809156
2.209796559004514,-0.020674328526395207,-1.3559200284417724e-06,0.04166654872506551
2.455329510005016,1.2839543304488235e-05,-7.102352439086102e-06,0.0002922125856661232
