      Step     Time          Energy          fmax
FIRE:   13 15:14:47    -2357.392927        0.089708
FIRE:   14 15:14:47    -2357.394023        0.082126
FIRE:   15 15:14:48    -2357.395019        0.076998
FIRE:   16 15:14:48    -2357.395910        0.075024
FIRE:   17 15:14:49    -2357.396789        0.074929
FIRE:   18 15:14:50    -2357.397827        0.073766
FIRE:   19 15:14:50    -2357.399180        0.071862
FIRE:   20 15:14:51    -2357.400859        0.060154
FIRE:   21 15:14:51    -2357.402602        0.039092
FIRE:   22 15:14:52    -2357.403923        0.026402
FIRE:   23 15:14:52    -2357.404528        0.032319
FIRE:   24 15:14:53    -2357.404757        0.050696
FIRE:   25 15:14:53    -2357.405058        0.047604
FIRE:   26 15:14:54    -2357.405304        0.036190
FIRE:   27 15:14:54    -2357.405251        0.046382
FIRE:   28 15:14:55    -2357.405387        0.044103
FIRE:   29 15:14:56    -2357.405628        0.039997
FIRE:   30 15:14:56    -2357.405923        0.035180
FIRE:   31 15:14:57    -2357.406222        0.030845
FIRE:   32 15:14:57    -2357.406494        0.027359
FIRE:   33 15:14:58    -2357.406736        0.024649
FIRE:   34 15:14:58    -2357.406964        0.021888
FIRE:   35 15:14:59    -2357.407211        0.018117
FIRE:   36 15:15:00    -2357.407463        0.011482
FIRE:   37 15:15:00    -2357.407661        0.005578
FIRE:   38 15:15:01    -2357.407739        0.010662
FIRE:   39 15:15:01    -2357.407732        0.016053
FIRE:   40 15:15:02    -2357.407745        0.017343
FIRE:   41 15:15:02    -2357.407803        0.017312
FIRE:   42 15:15:03    -2357.407875        0.020552
FIRE:   43 15:15:03    -2357.408041        0.018634
FIRE:   44 15:15:04    -2357.408284        0.014141
FIRE:   45 15:15:04    -2357.408420        0.012330
FIRE:   46 15:15:05    -2357.408520        0.007866
FIRE:   47 15:15:06    -2357.408498        0.013880
FIRE:   48 15:15:06    -2357.408539        0.011284
FIRE:   49 15:15:07    -2357.408591        0.008125
FIRE:   50 15:15:07    -2357.408624        0.007750
FIRE:   51 15:15:08    -2357.408646        0.008712
FIRE:   52 15:15:08    -2357.408673        0.007437
FIRE:   53 15:15:09    -2357.408699        0.004481
      Step     Time          Energy          fmax
FIRE:    0 15:18:48    -2357.348733        0.444193
FIRE:    1 15:18:49    -2357.355156        0.399674
FIRE:    2 15:18:49    -2357.365381        0.317262
FIRE:    3 15:18:50    -2357.375543        0.208587
FIRE:    4 15:18:50    -2357.382499        0.110767
FIRE:    5 15:18:51    -2357.385472        0.123001
FIRE:    6 15:18:51    -2357.386251        0.145895
FIRE:    7 15:18:52    -2357.386607        0.143029
FIRE:    8 15:18:52    -2357.387287        0.137427
FIRE:    9 15:18:53    -2357.388231        0.129365
FIRE:   10 15:18:54    -2357.389358        0.119281
FIRE:   11 15:18:54    -2357.390576        0.107822
FIRE:   12 15:18:55    -2357.391792        0.098256
FIRE:   13 15:18:55    -2357.392927        0.089708
FIRE:   14 15:18:56    -2357.394023        0.082126
FIRE:   15 15:18:56    -2357.395019        0.076998
FIRE:   16 15:18:57    -2357.395910        0.075024
FIRE:   17 15:18:57    -2357.396789        0.074929
FIRE:   18 15:18:58    -2357.397827        0.073766
FIRE:   19 15:18:58    -2357.399180        0.071862
FIRE:   20 15:18:59    -2357.400859        0.060154
FIRE:   21 15:19:00    -2357.402602        0.039092
FIRE:   22 15:19:00    -2357.403923        0.026402
FIRE:   23 15:19:01    -2357.404528        0.032319
FIRE:   24 15:19:01    -2357.404757        0.050696
FIRE:   25 15:19:02    -2357.405058        0.047604
FIRE:   26 15:19:02    -2357.405304        0.036190
FIRE:   27 15:19:03    -2357.405251        0.046382
FIRE:   28 15:19:03    -2357.405387        0.044103
FIRE:   29 15:19:04    -2357.405628        0.039997
FIRE:   30 15:19:05    -2357.405923        0.035180
FIRE:   31 15:19:05    -2357.406222        0.030845
FIRE:   32 15:19:06    -2357.406494        0.027359
FIRE:   33 15:19:06    -2357.406736        0.024649
FIRE:   34 15:19:07    -2357.406964        0.021888
FIRE:   35 15:19:07    -2357.407211        0.018117
FIRE:   36 15:19:08    -2357.407463        0.011482
FIRE:   37 15:19:08    -2357.407661        0.005578
FIRE:   38 15:19:09    -2357.407739        0.010662
FIRE:   39 15:19:10    -2357.407732        0.016053
FIRE:   40 15:19:10    -2357.407745        0.017343
FIRE:   41 15:19:11    -2357.407803        0.017312
FIRE:   42 15:19:11    -2357.407875        0.020552
FIRE:   43 15:19:12    -2357.408041        0.018634
FIRE:   44 15:19:12    -2357.408284        0.014141
FIRE:   45 15:19:13    -2357.408420        0.012330
FIRE:   46 15:19:13    -2357.408520        0.007866
FIRE:   47 15:19:14    -2357.408498        0.013880
FIRE:   48 15:19:15    -2357.408539        0.011284
FIRE:   49 15:19:15    -2357.408591        0.008125
FIRE:   50 15:19:16    -2357.408624        0.007750
FIRE:   51 15:19:16    -2357.408646        0.008712
FIRE:   52 15:19:17    -2357.408673        0.007437
FIRE:   53 15:19:17    -2357.408699        0.004481
      Step     Time          Energy          fmax
FIRE:    0 15:26:15    -2357.348733        0.444193
FIRE:    1 15:26:15    -2357.355156        0.399674
FIRE:    2 15:26:16    -2357.365381        0.317262
FIRE:    3 15:26:16    -2357.375543        0.208587
FIRE:    4 15:26:17    -2357.382499        0.110767
FIRE:    5 15:26:17    -2357.385472        0.123001
FIRE:    6 15:26:18    -2357.386251        0.145895
FIRE:    7 15:26:18    -2357.386607        0.143029
FIRE:    8 15:26:19    -2357.387287        0.137427
FIRE:    9 15:26:19    -2357.388231        0.129365
FIRE:   10 15:26:20    -2357.389358        0.119281
FIRE:   11 15:26:21    -2357.390576        0.107822
FIRE:   12 15:26:21    -2357.391792        0.098256
FIRE:   13 15:26:22    -2357.392927        0.089708
FIRE:   14 15:26:22    -2357.394023        0.082126
FIRE:   15 15:26:23    -2357.395019        0.076998
FIRE:   16 15:26:23    -2357.395910        0.075024
FIRE:   17 15:26:24    -2357.396789        0.074929
FIRE:   18 15:26:24    -2357.397827        0.073766
FIRE:   19 15:26:25    -2357.399180        0.071862
FIRE:   20 15:26:25    -2357.400859        0.060154
FIRE:   21 15:26:26    -2357.402602        0.039092
FIRE:   22 15:26:27    -2357.403923        0.026402
FIRE:   23 15:26:27    -2357.404528        0.032319
FIRE:   24 15:26:28    -2357.404757        0.050696
FIRE:   25 15:26:28    -2357.405058        0.047604
FIRE:   26 15:26:29    -2357.405304        0.036190
FIRE:   27 15:26:29    -2357.405251        0.046382
FIRE:   28 15:26:30    -2357.405387        0.044103
FIRE:   29 15:26:30    -2357.405628        0.039997
FIRE:   30 15:26:31    -2357.405923        0.035180
FIRE:   31 15:26:32    -2357.406222        0.030845
FIRE:   32 15:26:32    -2357.406494        0.027359
FIRE:   33 15:26:33    -2357.406736        0.024649
FIRE:   34 15:26:33    -2357.406964        0.021888
FIRE:   35 15:26:34    -2357.407211        0.018117
FIRE:   36 15:26:34    -2357.407463        0.011482
FIRE:   37 15:26:35    -2357.407661        0.005578
FIRE:   38 15:26:35    -2357.407739        0.010662
FIRE:   39 15:26:36    -2357.407732        0.016053
FIRE:   40 15:26:36    -2357.407745        0.017343
FIRE:   41 15:26:37    -2357.407803        0.017312
FIRE:   42 15:26:38    -2357.407875        0.020552
FIRE:   43 15:26:38    -2357.408041        0.018634
FIRE:   44 15:26:39    -2357.408284        0.014141
FIRE:   45 15:26:39    -2357.408420        0.012330
FIRE:   46 15:26:40    -2357.408520        0.007866
FIRE:   47 15:26:41    -2357.408498        0.013880
FIRE:   48 15:26:41    -2357.408539        0.011284
FIRE:   49 15:26:42    -2357.408591        0.008125
FIRE:   50 15:26:42    -2357.408624        0.007750
FIRE:   51 15:26:43    -2357.408646        0.008712
FIRE:   52 15:26:44    -2357.408673        0.007437
FIRE:   53 15:26:44    -2357.408699        0.004481
      Step     Time          Energy          fmax
FIRE:    0 15:29:01    -2357.348733        0.444193
FIRE:    1 15:29:02    -2357.355156        0.399674
